common name,original name,
cod,cod,3
coe,coe,3
florida international,fiu,21
iup,iup,3
lsu,lsu,3
mit,mit,3
mit,MIT (MA),3
northern illinois,niu,17
rpi,rpi,3
tcu,tcu,3
uab,uab,3
ucf,ucf,3
usc,usc,3
usf,usf,3
vmi,vmi,3
alma,alma,4
alma,Alma (MI),4
army,army,4
duke,duke,4
elon,elon,4
enmu,enmu,4
etsu,etsu,4
grcc,grcc,4
hope,hope,4
iona,iona,4
iowa,iowa,4
kean,kean,4
kean,Kean (NJ),4
lane,lane,4
mary,mary,4
naps,naps,4
navy,navy,4
nccu,nccu,4
ohio,ohio,4
pace,pace,4
penn,penn,4
rice,rice,4
shaw,shaw,4
tcnj,tcnj,4
troy,troy,4
ucla,ucla,4
unlv,unlv,4
utah,utah,4
utep,utep,4
utsa,utsa,4
yale,yale,4
yale,Yale (CT),4
akron,akron,5
akron,Akron (OH),5
avila,avila,5
baker,baker,5
bates,bates,5
berea,berea,5
blinn,blinn,5
brown,brown,5
colby,colby,5
doane,doane,5
dordt,dordt,5
drake,drake,5
hiram,hiram,5
hiram,Hiram (OH),5
idaho,idaho,5
lamar,lamar,5
maine,maine,5
menlo,menlo,5
miami,miami,5
miles,miles,5
rayne,rayne,5
ripon,ripon,5
rowan,rowan,5
salem,salem,5
tabor,tabor,5
tampa,tampa,5
texas,texas,5
tufts,tufts,5
tulsa,tulsa,5
uconn,uconn,5
umass,umass,5
union,union,5
utica,utica,5
walsh,walsh,5
adrian,adrian,6
adrian,Adrian (MI),6
albany,albany,6
albion,albion,6
albion,Albion (MI),6
albion,albion college,6
auburn,auburn,6
austin,austin,6
bacone,bacone,6
baylor,baylor,6
baylor,Baylor (TX),6
becker,becker,6
bethel,bethel,6
boston,boston,6
bryant,bryant,6
burton,burton,6
butler,butler,6
butler,Butler (IN),6
coe ia,Coe (IA),6
dayton,dayton,6
depauw,depauw,6
depauw,DePauw (IN),6
eureka,eureka,6
eureka,Eureka (IL),6
furman,furman,6
furman,Furman (SC),6
geneva,geneva,6
hawaii,hawaii,6
hobart,hobart,6
howard,howard,6
hughes,hughes,6
husson,husson,6
ithaca,ithaca,6
kansas,kansas,6
keller,keller,6
lehigh,lehigh,6
luther,luther,6
luther,Luther (IA),6
malone,malone,6
malone,Malone (OH),6
marian,marian,6
marist,marist,6
marist,Marist (NY),6
mercer,mercer,6
nevada,nevada,6
oregon,oregon,6
ottawa,ottawa,6
png hs,png hs,6
pomona,pomona,6
purdue,purdue,6
quincy,quincy,6
ramapo,ramapo,6
rhodes,rhodes,6
rhodes,Rhodes (TN),6
taylor,taylor,6
temple,temple,6
temple,Temple (PA),6
tiffin,tiffin,6
toledo,toledo,6
toledo,Toledo (OH),6
towson,towson,6
tulane,tulane,6
tulane,Tulane (LA),6
urbana,urbana,6
wabash,wabash,6
wagner,wagner,6
wilkes,wilkes,6
wilkes,Wilkes (PA),6
xavier,xavier,6
abilene,abilene,7
abilene,abilene christian,7
abilene,Abilene Christian (TX),7
abilene,abilene christian wildcats,7
alabama,alabama,7
alma hs,alma hs,7
amherst,amherst,7
amherst,Amherst (MA),7
arizona,arizona,7
army ny,Army (NY),7
ashland,ashland,7
ashland,Ashland (OH),7
bethany,bethany,7
brevard,brevard,7
buffalo,buffalo,7
cameron,cameron,7
capital,capital,7
carroll,carroll,7
catawba,catawba,7
cheyney,cheyney,7
chicago,chicago,7
chicago,Chicago (IL),7
citadel,citadel,7
citadel,Citadel (SC),7
clarion,clarion,7
clarion,Clarion (PA),7
clemson,clemson,7
clemson,Clemson (SC),7
colgate,colgate,7
colgate,Colgate (NY),7
concord,concord,7
concord,Concord (WV),7
cornell,cornell,7
denison,denison,7
dubuque,dubuque,7
duke,Duke (NC),4
earlham,earlham,7
elon,Elon (NC),4
enka hs,enka hs,7
fife hs,fife hs,7
findlay,findlay,7
findlay,Findlay (OH),7
florida,florida,7
fordham,fordham,7
fordham,Fordham (NY),7
friends,friends,7
friends,Friends (KS),7
gaither,gaither,7
georgia,georgia,7
hampton,hampton,7
hampton,Hampton (VA),7
harvard,harvard,7
hofstra,hofstra,7
hofstra,Hofstra (NY),7
hope mi,Hope (MI),7
houston,houston,7
indiana,indiana,7
iona ny,Iona (NY),7
juniata,juniata,7
knox il,Knox (IL),7
lambuth,lambuth,7
lane tn,Lane (TN),7
liberty,liberty,7
mary nd,Mary (ND),7
mcmurry,mcmurry,7
mcmurry,McMurry (TX),7
mesa hs,mesa hs,7
montana,montana,7
navarro,navarro,7
navy,Navy (MD),4
norwich,norwich,7
norwich,Norwich (VT),7
oberlin,oberlin,7
oberlin,Oberlin (OH),7
pace ny,Pace (NY),7
pacific,pacific,7
palomar,palomar,7
parsons,parsons,7
parsons,Parsons (IA),7
poca hs,poca hs,7
reno hs,reno hs,7
rice tx,Rice (TX),7
rocbull,rocbull,7
rutgers,rutgers,7
rutgers,Rutgers (NJ),7
samford,samford,7
sewanee,sewanee,7
shaw nc,Shaw (NC),7
shorter,shorter,7
stetson,stetson,7
stetson,Stetson (FL),7
troy al,Troy (AL),7
waco hs,waco hs,7
waldorf,waldorf,7
wheaton,wheaton,7
wheaton,Wheaton (IL),7
widener,widener,7
wingate,wingate,7
wingate,Wingate (NC),7
wofford,wofford,7
wofford,Wofford (SC),7
wooster,wooster,7
wooster,Wooster (OH),7
wyoming,wyoming,7
akins hs,akins hs,8
albright,albright,8
albright,Albright (PA),8
alice hs,alice hs,8
aloha hs,aloha hs,8
anderson,anderson,8
arkansas,arkansas,8
avila mo,Avila (MO),8
baker ks,Baker (KS),8
banks hs,banks hs,8
barbe hs,barbe hs,8
bates me,Bates (ME),8
bc lions,bc lions,8
belhaven,belhaven,8
blinn jc,blinn jc,8
brown ri,Brown (RI),8
bucknell,bucknell,8
bucknell,Bucknell (PA),8
cal poly,cal poly,8
campbell,campbell,8
carthage,carthage,8
carthage,Carthage (WI),8
catholic,catholic,8
colby me,Colby (ME),8
colorado,colorado,8
columbia,columbia,8
crown mn,Crown (MN),8
curry ma,Curry (MA),8
davidson,davidson,8
delaware,delaware,8
doane ne,Doane (NE),8
drake ia,Drake (IA),8
duquesne,duquesne,8
eaton hs,eaton hs,8
elder hs,elder hs,8
elgin hs,elgin hs,8
fairmont,fairmont,8
faulkner,faulkner,8
franklin,franklin,8
gibbs hs,gibbs hs,8
giles hs,giles hs,8
guilford,guilford,8
guilford,Guilford (NC),8
